Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Física;Aquisição de outros bens - Pré-fixado;SINOSSERRA S/A - SCFI;0,22;2,64
2;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO KOMATSU S.A.;0,84;10,54
3;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO VOLVO BRASIL S.A.;1,10;13,98
4;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO CATERPILLAR S.A.;1,34;17,30
5;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO DE LAGE LANDEN BRASIL S.A.;1,37;17,78
6;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO VOLKSWAGEN S.A;1,59;20,87
7;Pessoa Física;Aquisição de outros bens - Pré-fixado;BANCO RANDON S.A.;1,70;22,35
8;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO BRADESCO S.A.;1,83;24,24
9;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO TOYOTA DO BRASIL S.A.;1,88;24,99
10;Pessoa Física;Aquisição de outros bens - Pré-fixado;BANCO CNH INDUSTRIAL CAPITAL S.A;2,00;26,80
11;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO DO ESTADO DO RS S.A.;2,10;28,31
12;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO BANESTES S.A.;2,13;28,72
13;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO BV S.A.;2,17;29,30
14;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO VOTORANTIM S.A.;2,27;30,98
15;Pessoa Física;Aquisição de outros bens - Pré-fixado;TODESCREDI S/A - CFI;2,30;31,32
16;Pessoa Física;Aquisição de outros bens - Pré-fixado;AYMORÉ CFI S.A.;2,30;31,39
17;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO BRADESCO FINANC. S.A.;2,69;37,53
18;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO SENFF S.A.;2,77;38,73
19;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO DO BRASIL S.A.;2,93;41,43
20;Pessoa Física;Aquisição de outros bens - Pré-fixado;HS FINANCEIRA;3,55;51,98
21;Pessoa Física;Aquisição de outros bens - Pré-fixado;BECKER FINANCEIRA SA - CFI;3,98;59,81
22;Pessoa Física;Aquisição de outros bens - Pré-fixado;LEBES FINANCEIRA CFI SA;4,04;60,92
23;Pessoa Física;Aquisição de outros bens - Pré-fixado;CREDIARE CFI S.A.;4,23;64,31
24;Pessoa Física;Aquisição de outros bens - Pré-fixado;CENTROCRED S.A. CFI;4,74;74,24
25;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO HONDA S.A.;5,34;86,70
26;Pessoa Física;Aquisição de outros bens - Pré-fixado;GRAZZIOTIN FINANCEIRA S/A;5,35;86,90
27;Pessoa Física;Aquisição de outros bens - Pré-fixado;KREDILIG S.A. - CFI;5,93;99,70
28;Pessoa Física;Aquisição de outros bens - Pré-fixado;VIA CERTA FINANCIADORA S.A. - CFI;6,08;102,96
29;Pessoa Física;Aquisição de outros bens - Pré-fixado;BANCO INTER;6,47;112,17
30;Pessoa Física;Aquisição de outros bens - Pré-fixado;NEGRESCO S.A. - CFI;6,47;112,23
31;Pessoa Física;Aquisição de outros bens - Pré-fixado;GAZINCRED S.A. SCFI;7,11;128,12
32;Pessoa Física;Aquisição de outros bens - Pré-fixado;MERCADO CRÉDITO SCFI S.A.;7,26;131,78
33;Pessoa Física;Aquisição de outros bens - Pré-fixado;ZEMA CFI S/A;7,34;133,91
34;Pessoa Física;Aquisição de outros bens - Pré-fixado;AGORACRED S/A SCFI;7,48;137,71
35;Pessoa Física;Aquisição de outros bens - Pré-fixado;BANCO SEMEAR;7,99;151,56
